ReT,In_v,Tar,Gas,Char,Out_T
733.15,5.4,0.589484,0.173452,0.237256,722.2752
733.15,5.6,0.591456,0.170448,0.238224,721.9988
733.15,5.8,0.593428,0.167444,0.239192,721.7224
733.15,6,0.5954,0.16444,0.24016,721.446
733.15,6.2,0.596492,0.162864,0.240628,721.7
733.15,6.4,0.597584,0.161288,0.241096,721.954
733.15,6.6,0.598676,0.159712,0.241564,722.208
733.15,6.8,0.599768,0.158136,0.242032,722.462
733.15,7,0.60086,0.15656,0.2425,722.716
743.15,4,0.56902,0.20178,0.2292,736.666
743.15,4.2,0.570652,0.200128,0.229368,735.92
743.15,4.4,0.572284,0.198476,0.229536,735.174
743.15,4.6,0.573916,0.196824,0.229704,734.428
743.15,4.8,0.575548,0.195172,0.229872,733.682
743.15,5,0.57718,0.19352,0.23004,732.936
743.15,5.2,0.579584,0.189992,0.231016,732.6392
743.15,5.4,0.581988,0.186464,0.231992,732.3424
743.15,5.6,0.584392,0.182936,0.232968,732.0456
743.15,5.8,0.586796,0.179408,0.233944,731.7488
743.15,6,0.5892,0.17588,0.23492,731.452
743.15,6.2,0.591124,0.173988,0.234876,731.746
743.15,6.4,0.593048,0.172096,0.234832,732.04
743.15,6.6,0.594972,0.170204,0.234788,732.334
743.15,6.8,0.596896,0.168312,0.234744,732.628
743.15,7,0.59882,0.16642,0.2347,732.922
753.15,4,0.55998,0.21642,0.2236,746.964
753.15,4.2,0.561748,0.214652,0.223832,746.18
753.15,4.4,0.563516,0.212884,0.224064,745.396
753.15,4.6,0.565284,0.211116,0.224296,744.612
753.15,4.8,0.567052,0.209348,0.224528,743.828
753.15,5,0.56882,0.20758,0.22476,743.044
753.15,5.2,0.571656,0.203528,0.225744,742.7268
753.15,5.4,0.574492,0.199476,0.226728,742.4096
753.15,5.6,0.577328,0.195424,0.227712,742.0924
753.15,5.8,0.580164,0.191372,0.228696,741.7752
753.15,6,0.583,0.18732,0.22968,741.458
753.15,6.2,0.585756,0.185112,0.229124,741.792
753.15,6.4,0.588512,0.182904,0.228568,742.126
753.15,6.6,0.591268,0.180696,0.228012,742.46
753.15,6.8,0.594024,0.178488,0.227456,742.794
753.15,7,0.59678,0.17628,0.2269,743.128
763.15,4,0.55094,0.23106,0.218,757.262
763.15,4.2,0.552844,0.229176,0.218296,756.44
763.15,4.4,0.554748,0.227292,0.218592,755.618
763.15,4.6,0.556652,0.225408,0.218888,754.796
763.15,4.8,0.558556,0.223524,0.219184,753.974
763.15,5,0.56046,0.22164,0.21948,753.152
763.15,5.2,0.563728,0.217064,0.220472,752.8144
763.15,5.4,0.566996,0.212488,0.221464,752.4768
763.15,5.6,0.570264,0.207912,0.222456,752.1392
763.15,5.8,0.573532,0.203336,0.223448,751.8016
763.15,6,0.5768,0.19876,0.22444,751.464
763.15,6.2,0.580388,0.196236,0.223372,751.838
763.15,6.4,0.583976,0.193712,0.222304,752.212
763.15,6.6,0.587564,0.191188,0.221236,752.586
763.15,6.8,0.591152,0.188664,0.220168,752.96
763.15,7,0.59474,0.18614,0.2191,753.334
773.15,4,0.5419,0.2457,0.2124,767.56
773.15,4.2,0.54394,0.2437,0.21276,766.7
773.15,4.4,0.54598,0.2417,0.21312,765.84
773.15,4.6,0.54802,0.2397,0.21348,764.98
773.15,4.8,0.55006,0.2377,0.21384,764.12
773.15,5,0.5521,0.2357,0.2142,763.26
773.15,5.2,0.5558,0.2306,0.2152,762.902
773.15,5.4,0.5595,0.2255,0.2162,762.544
773.15,5.6,0.5632,0.2204,0.2172,762.186
773.15,5.8,0.5669,0.2153,0.2182,761.828
773.15,6,0.5706,0.2102,0.2192,761.47
773.15,6.2,0.57502,0.20736,0.21762,761.884
773.15,6.4,0.57944,0.20452,0.21604,762.298
773.15,6.6,0.58386,0.20168,0.21446,762.712
773.15,6.8,0.58828,0.19884,0.21288,763.126
773.15,7,0.5927,0.196,0.2113,763.54
783.15,4,0.53538,0.25386,0.21076,774.702
783.15,4.2,0.53778,0.251028,0.211512,773.8924
783.15,4.4,0.54018,0.248196,0.212264,773.0828
783.15,4.6,0.54258,0.245364,0.213016,772.2732
783.15,4.8,0.54498,0.242532,0.213768,771.4636
783.15,5,0.54738,0.2397,0.21452,770.654
783.15,5.2,0.551308,0.234604,0.215368,770.3992
783.15,5.4,0.555236,0.229508,0.216216,770.1444
783.15,5.6,0.559164,0.224412,0.217064,769.8896
783.15,5.8,0.563092,0.219316,0.217912,769.6348
783.15,6,0.56702,0.21422,0.21876,769.38
783.15,6.2,0.570816,0.212336,0.216848,769.694
783.15,6.4,0.574612,0.210452,0.214936,770.008
783.15,6.6,0.578408,0.208568,0.213024,770.322
783.15,6.8,0.582204,0.206684,0.211112,770.636
783.15,7,0.586,0.2048,0.2092,770.95
793.15,4,0.52886,0.26202,0.20912,781.844
793.15,4.2,0.53162,0.258356,0.210264,781.0848
793.15,4.4,0.53438,0.254692,0.211408,780.3256
793.15,4.6,0.53714,0.251028,0.212552,779.5664
793.15,4.8,0.5399,0.247364,0.213696,778.8072
793.15,5,0.54266,0.2437,0.21484,778.048
793.15,5.2,0.546816,0.238608,0.215536,777.8964
793.15,5.4,0.550972,0.233516,0.216232,777.7448
793.15,5.6,0.555128,0.228424,0.216928,777.5932
793.15,5.8,0.559284,0.223332,0.217624,777.4416
793.15,6,0.56344,0.21824,0.21832,777.29
